cd_cliente,cd_municipio,ds_endereco,nr_endereco,bairro
329,1702703,LAGO DE DA LUZ,54,MARIETA 1ª SEÇÃO
330,1702901,PARQUE AUGUSTO CALDEIRA,1722,VILA REAL 1ª SEÇÃO
331,1703008,VIELA DE CARVALHO,2820,VILA COPACABANA
332,1703057,VIELA PAULO SILVEIRA,4832,JARDIM VITORIA
333,1703073,ÁREA DA CUNHA,889,ANTONIO RIBEIRO DE ABREU 1ª SEÇÃO
334,1703107,DISTRITO DE RAMOS,1704,BOA VIAGEM
335,1703206,PASSARELA DE NASCIMENTO,1385,CONJUNTO SÃO FRANCISCO DE ASSIS
336,1703305,NÚCLEO DE FERNANDES,3133,NOVA GRANADA
337,1703602,CONDOMÍNIO DE MOURA,2537,SANTA LÚCIA
338,1703701,NÚCLEO DE FARIAS,348,VILA INDEPENDENCIA 3ª SEÇÃO
339,1703800,LOTEAMENTO DE SOUZA,2669,VILA BOA VISTA
340,1703826,PARQUE RAMOS,4064,VILA PARIS
341,1703842,ESTRADA ALMEIDA,2964,VILA NOVA CACHOEIRINHA 1ª SEÇÃO
342,1703867,PARQUE DE DA ROSA,1967,VILA SANTA MONICA 2ª SEÇÃO
343,1703883,DISTRITO DE SOUZA,2820,SÃO BENTO
344,1703891,VEREDA DE COSTA,255,FLAVIO DE OLIVEIRA
345,1703909,ESTRADA DE CARVALHO,3990,ALTA TENSÃO 1ª SEÇÃO
346,1704105,VILA FARIAS,1113,VILA CLORIS
347,1704600,RUA DE DUARTE,858,VIRGÍNIA
348,1705102,RODOVIA DE SALES,4028,SÃO LUIZ
349,1705508,TRECHO LUIZ MIGUEL DA MATA,1462,VILA JARDIM SÃO JOSÉ
350,1705557,PARQUE DANIEL REZENDE,2,AMBROSINA
351,1705607,TRECHO DA ROCHA,1480,NOVO DAS INDUSTRIAS
352,1706001,LADEIRA DE DA CONCEIÇÃO,1954,PINDORAMA
353,1706100,RECANTO VIANA,1213,SÃO JORGE 1ª SEÇÃO
354,1706258,VEREDA MURILO FARIAS,3210,SANTO AGOSTINHO
355,1706506,RODOVIA LOPES,813,XANGRI-LÁ
356,1707009,TREVO RAQUEL ROCHA,538,LAGOINHA LEBLON
357,1707108,ALAMEDA DE CASTRO,2881,CAIÇARAS
358,1707207,CONJUNTO DE DA CUNHA,4027,ESTRELA DO ORIENTE
359,1707306,RODOVIA GUSTAVO HENRIQUE DA CONCEIÇÃO,1021,VILA NOVA GAMELEIRA 3ª SEÇÃO
360,1707405,RUA DA MOTA,3932,BOA ESPERANÇA
361,1707553,DISTRITO PIETRO SANTOS,2780,VILA NOVA CACHOEIRINHA 2ª SEÇÃO
362,1707652,SÍTIO DE CUNHA,995,MIRANTE
363,1707702,VIA DA MATA,781,INDEPENDÊNCIA
364,1708205,PRAÇA ISIS MOURA,1115,SANTA BRANCA
365,1708254,CONJUNTO DE SILVEIRA,2968,CÉU AZUL
366,1708304,FAZENDA NOGUEIRA,1121,BARROCA
367,1709005,RESIDENCIAL SOUZA,1312,VILA BARRAGEM SANTA LÚCIA
368,1709302,ALAMEDA YURI DA ROCHA,3942,ITAPOA
369,1709500,TRECHO ALMEIDA,1011,INCONFIDÊNCIA
370,1709807,SETOR ENZO GABRIEL RIBEIRO,3491,VILA JARDIM ALVORADA
371,1710508,VEREDA DAS NEVES,654,HORTO FLORESTAL
372,1710706,CONDOMÍNIO LAURA RODRIGUES,4093,JARDIM FELICIDADE
373,1710904,CAMPO MONTEIRO,3366,CONJUNTO SÃO FRANCISCO DE ASSIS
374,1711100,ESTRADA LÍVIA SILVEIRA,3802,MANACAS
375,1711506,FAVELA DE FREITAS,4869,CONJUNTO TAQUARIL
376,1711803,SÍTIO PORTO,4040,SANTO ANDRÉ
377,1711902,RECANTO ESTHER SILVEIRA,583,FREI LEOPOLDO
378,1711951,FEIRA DE CALDEIRA,153,LARANJEIRAS
379,1712009,RESIDENCIAL JULIA CARDOSO,633,VILA NOVA PARAÍSO
380,1712157,FEIRA DE MOURA,3724,CONJUNTO JARDIM FILADÉLFIA
381,1712405,ESPLANADA OTÁVIO SANTOS,3292,MARIA HELENA
382,1712454,NÚCLEO LAURA GONÇALVES,1531,VILA PAQUETÁ
383,1712504,PÁTIO DE FERREIRA,3756,SANTA TEREZA
384,1712702,AVENIDA DE BARBOSA,4143,GRANJA WERNECK
385,1712801,CAMPO DE PINTO,4738,UNIVERSO
