cd_sinistro,placa,dt_sinistro,local_sinistro,condutor
92,"FZI3352   ",2026-04-25 00:00:00.000,4126405,CLARICE
93,"CBF7233   ",2024-01-28 00:00:00.000,5204201,EMANUELLA
94,"WYU2447   ",2025-04-09 00:00:00.000,4105805,LORENA
95,"UXN9776   ",2023-09-15 00:00:00.000,3547205,ALEXIA
96,"TJZ1443   ",2026-02-20 00:00:00.000,3501301,CAUÃ
97,"QCM1076   ",2026-12-13 00:00:00.000,3170602,ENRICO
98,"HGG5878   ",2024-11-22 00:00:00.000,2920908,ESTHER
99,"QNI5426   ",2025-01-15 00:00:00.000,4212270,SARAH
100,"RZN5975   ",2025-11-30 00:00:00.000,3128709,JOAQUIM
101,"FBR1579   ",2025-02-04 00:00:00.000,4316451,EMILLY
102,"LVY0417   ",2025-10-05 00:00:00.000,2707305,MILENA
103,"PEU2123   ",2025-12-25 00:00:00.000,4125753,LÍVIA
104,"IDY9636   ",2026-06-16 00:00:00.000,5218003,REBECA
105,"DXA0013   ",2026-11-09 00:00:00.000,5219456,VICENTE
106,"WGS6031   ",2024-03-06 00:00:00.000,3162807,PAULO
107,"NDA0993   ",2026-05-02 00:00:00.000,1101500,EVELYN
108,"KSW9378   ",2024-03-26 00:00:00.000,2301109,RODRIGO
109,"MOA1133   ",2025-04-17 00:00:00.000,4118600,NATHAN
110,"III7097   ",2026-06-02 00:00:00.000,5108600,LUANA
111,"DFX7627   ",2026-01-06 00:00:00.000,1506609,ERICK
112,"FCM3847   ",2026-06-08 00:00:00.000,2110203,JULIA
113,"COM9794   ",2024-11-15 00:00:00.000,4316956,ANA
114,"KOE6220   ",2026-01-01 00:00:00.000,3300100,RAFAEL
115,"AKI1217   ",2024-11-15 00:00:00.000,2805208,CLARICE
116,"OOG7937   ",2025-07-31 00:00:00.000,4312138,NATHAN
117,"CQE1590   ",2026-03-07 00:00:00.000,2602100,JOÃO
118,"YGD9044   ",2026-11-24 00:00:00.000,3156601,MAYSA
119,"DDS2663   ",2025-06-23 00:00:00.000,2407104,CAROLINA
120,"XQL9830   ",2025-09-03 00:00:00.000,3522703,STELLA
121,"LDZ6443   ",2023-09-23 00:00:00.000,2703809,SOFIA
122,"MHT7014   ",2024-12-16 00:00:00.000,2414753,NATHAN
123,"ENN7054   ",2024-11-23 00:00:00.000,1507201,ANA
124,"KTJ0112   ",2023-08-15 00:00:00.000,2309409,ENZO
125,"XIU2771   ",2023-03-17 00:00:00.000,2933158,PEDRO
126,"SLS5446   ",2024-01-13 00:00:00.000,3129608,ISABELLA
127,"SEA6689   ",2023-05-29 00:00:00.000,3165909,JOÃO
128,"UMV1991   ",2024-09-23 00:00:00.000,4117206,ENZO
129,"BGF8927   ",2025-10-22 00:00:00.000,5214101,FERNANDA
130,"HUD3867   ",2026-08-23 00:00:00.000,2704104,JOÃO
131,"KNV7078   ",2025-08-26 00:00:00.000,2912806,CALEBE
132,"EJR5391   ",2024-01-18 00:00:00.000,3544202,VINICIUS
133,"LKN8257   ",2023-06-02 00:00:00.000,4316972,CALEBE
134,"MQR6768   ",2026-09-16 00:00:00.000,4125357,MARIANE
135,"OIN5835   ",2024-05-08 00:00:00.000,5002902,FERNANDA
136,"TBH2459   ",2024-03-08 00:00:00.000,2301703,SAMUEL
137,"NIG4038   ",2024-05-02 00:00:00.000,3501202,LUIZ
138,"CLP0704   ",2025-12-11 00:00:00.000,2401404,JOÃO
139,"LRC5077   ",2024-11-05 00:00:00.000,2210623,ISIS
140,"GLV0232   ",2026-12-01 00:00:00.000,2932804,FERNANDA
141,"MIP8103   ",2023-07-22 00:00:00.000,3552403,HENRIQUE
142,"AJV3495   ",2025-11-17 00:00:00.000,4322400,MAYSA
143,"TLG2817   ",2023-10-02 00:00:00.000,4318614,MARIA
144,"NVT9536   ",2023-03-20 00:00:00.000,4309605,MAYSA
145,"LIP9001   ",2026-09-14 00:00:00.000,5214838,ANA
146,"JIF7827   ",2024-09-22 00:00:00.000,2210391,CARLOS
147,"CWQ4333   ",2025-11-30 00:00:00.000,3105707,EVELYN
148,"RZA1041   ",2023-09-22 00:00:00.000,4312807,JOÃO
149,"TDC6856   ",2026-07-22 00:00:00.000,2910602,HELENA
150,"EJK8250   ",2024-05-10 00:00:00.000,5003207,CLARICE
151,"VTP3054   ",2024-04-04 00:00:00.000,4310579,RAUL
152,"VJB7106   ",2026-03-18 00:00:00.000,4215059,LUCCA
153,"XFX3708   ",2025-03-04 00:00:00.000,2301257,ALANA
154,"JKP5437   ",2023-09-23 00:00:00.000,3151602,JOÃO
155,"AFX3523   ",2026-06-15 00:00:00.000,3153103,JOANA
156,"VIB2414   ",2024-12-05 00:00:00.000,3502507,GABRIEL
157,"RNO9658   ",2024-07-17 00:00:00.000,4214003,PAULO
158,"RFY4731   ",2025-08-12 00:00:00.000,4121901,JOÃO
159,"ONX0731   ",2025-03-10 00:00:00.000,2804458,LUCAS
160,"BKW9639   ",2024-11-04 00:00:00.000,3529401,LUIZ
161,"DGW6032   ",2023-08-15 00:00:00.000,4114807,DANILO
162,"WLO3844   ",2024-06-05 00:00:00.000,4217600,LORENA
163,"NFE1652   ",2026-12-13 00:00:00.000,2307205,GABRIELLY
164,"XOH2820   ",2023-05-14 00:00:00.000,2414902,SOFIA
165,"QRN4075   ",2026-11-09 00:00:00.000,3159803,LUCAS
166,"APL0577   ",2024-08-10 00:00:00.000,3553906,ALÍCIA
167,"WZM3764   ",2025-01-10 00:00:00.000,3153400,MARCELA
168,"BTQ9096   ",2023-10-22 00:00:00.000,3167707,NICOLAS
169,"YIM8077   ",2024-05-27 00:00:00.000,2408102,BÁRBARA
170,"KSD2529   ",2023-12-31 00:00:00.000,2307809,JOÃO
171,"CTJ7399   ",2024-03-20 00:00:00.000,3543808,RODRIGO
172,"XDL6975   ",2025-08-16 00:00:00.000,1302306,HELOÍSA
173,"IZH6630   ",2024-08-14 00:00:00.000,5205901,RENAN
174,"IJM7872   ",2025-09-24 00:00:00.000,2407203,MIRELLA
175,"ZYZ1452   ",2023-06-29 00:00:00.000,3145877,CAROLINA
176,"MRA3419   ",2026-03-20 00:00:00.000,5211206,MARINA
177,"RDB5926   ",2025-04-01 00:00:00.000,3132503,CAROLINA
178,"SZM8866   ",2023-04-24 00:00:00.000,1200609,ISADORA
179,"PKD5715   ",2026-11-13 00:00:00.000,1506161,NICOLE
180,"TKK6680   ",2026-04-21 00:00:00.000,1506112,RYAN
181,"HHP3857   ",2025-02-02 00:00:00.000,2800100,BENÍCIO
182,"IEG0917   ",2023-06-20 00:00:00.000,2200954,DIOGO
183,"QSL8684   ",2026-05-10 00:00:00.000,5204854,THIAGO
184,"FSS1802   ",2025-11-30 00:00:00.000,3535705,ELOAH
185,"SFG5715   ",2023-06-29 00:00:00.000,4127965,ISABEL
186,"UQF9077   ",2026-04-05 00:00:00.000,3201308,ERICK
187,"XIW0252   ",2026-11-16 00:00:00.000,2108207,PEDRO
188,"KAR7520   ",2024-10-25 00:00:00.000,1301803,GUSTAVO
189,"JGG0252   ",2025-04-13 00:00:00.000,2700607,DIEGO
190,"ELY8363   ",2026-05-26 00:00:00.000,3138658,HELENA
191,"GOL6280   ",2024-12-20 00:00:00.000,3126604,ENRICO
192,"MLK7637   ",2025-11-30 00:00:00.000,4305975,ANA
193,"KNW2411   ",2023-12-21 00:00:00.000,2516904,BÁRBARA
194,"FIB1140   ",2026-08-04 00:00:00.000,3103603,JOÃO
195,"AGO6517   ",2024-05-21 00:00:00.000,2404309,PEDRO
196,"GJH6976   ",2024-08-12 00:00:00.000,3120151,BRENO
197,"SST5268   ",2024-12-15 00:00:00.000,3511607,ISABEL
198,"ODK1442   ",2026-10-15 00:00:00.000,1711902,MIRELLA
199,"NSW0063   ",2025-01-02 00:00:00.000,3140308,PIETRA
200,"RDE3332   ",2023-06-21 00:00:00.000,2304509,NATHAN
201,"KBH4845   ",2024-10-29 00:00:00.000,3159704,VITÓRIA
202,"LZE6931   ",2026-01-23 00:00:00.000,1717909,ANA
203,"PFP0923   ",2026-08-04 00:00:00.000,3548302,JOAQUIM
204,"TDA0976   ",2024-08-15 00:00:00.000,3132305,ISAAC
205,"THR0821   ",2025-12-03 00:00:00.000,3155801,VITOR
206,"GAU0236   ",2024-06-12 00:00:00.000,2909000,KAIQUE
207,"EKS5530   ",2026-05-10 00:00:00.000,2402006,NICOLE
208,"BMH8936   ",2024-07-09 00:00:00.000,3102001,ENZO
209,"RJE6336   ",2025-10-31 00:00:00.000,2903409,ISABELLA
210,"LIG4065   ",2025-01-20 00:00:00.000,3545605,NATHAN
211,"KLE1398   ",2025-09-19 00:00:00.000,2903102,NINA
212,"KDQ2971   ",2023-07-26 00:00:00.000,5218607,BRENO
213,"SYE4663   ",2024-09-05 00:00:00.000,1301951,PAULO
214,"PVP9513   ",2025-12-13 00:00:00.000,2413201,LUIZ
215,"ESG0604   ",2025-11-30 00:00:00.000,2516508,LAVÍNIA
216,"MBA9282   ",2026-04-28 00:00:00.000,3529500,ELOAH
217,"NFN1702   ",2024-06-02 00:00:00.000,3115409,LUIZ
218,"TSB6559   ",2024-08-05 00:00:00.000,2513703,LUCCA
219,"HXL2543   ",2024-01-11 00:00:00.000,4111209,PIETRA
220,"WEE7762   ",2026-10-11 00:00:00.000,3125101,LUIZ
221,"SUS6738   ",2023-11-30 00:00:00.000,2410009,JÚLIA
222,"EFD4711   ",2026-11-22 00:00:00.000,5200605,GUILHERME
223,"DJD4966   ",2024-11-14 00:00:00.000,2414209,MARIA
224,"ZVX5056   ",2025-10-24 00:00:00.000,2413359,EVELYN
225,"DAI6012   ",2026-12-03 00:00:00.000,3153400,FERNANDO
226,"OCY3633   ",2023-10-11 00:00:00.000,2105302,LUIZ
227,"BTZ9735   ",2023-08-28 00:00:00.000,3111002,CAIO
228,"EKW8879   ",2026-10-13 00:00:00.000,3141603,MAYSA
229,"XAF3428   ",2023-10-27 00:00:00.000,3158201,FERNANDA
230,"TRK3735   ",2025-04-04 00:00:00.000,2515401,ESTHER
231,"RDZ0271   ",2025-05-03 00:00:00.000,1101500,AMANDA
232,"BDK8768   ",2024-11-04 00:00:00.000,2201988,HELENA
233,"GZJ1185   ",2024-09-16 00:00:00.000,3130101,MANUELA
234,"XMS0014   ",2025-02-10 00:00:00.000,2923308,ISAAC
235,"TRG3933   ",2026-11-11 00:00:00.000,2603454,BENJAMIN
236,"KDT3888   ",2026-09-22 00:00:00.000,2110237,JOÃO
237,"POT6187   ",2024-02-19 00:00:00.000,5100409,BIANCA
238,"OPI0199   ",2026-08-17 00:00:00.000,2921005,MARIA
239,"UVO5630   ",2024-05-06 00:00:00.000,3302700,MURILO
240,"KOJ9173   ",2025-11-11 00:00:00.000,2105302,MARIANE
241,"CKT3824   ",2026-04-24 00:00:00.000,3134202,PEDRO
242,"FEN2465   ",2025-05-22 00:00:00.000,5103254,LETÍCIA
243,"NBB3941   ",2025-11-12 00:00:00.000,2931509,REBECA
244,"EPF9254   ",2025-06-02 00:00:00.000,3201506,MARIANE
245,"BEC6993   ",2026-10-07 00:00:00.000,2503001,ALEXANDRE
246,"BJV7698   ",2026-08-22 00:00:00.000,5215603,MARIANA
247,"CTC6756   ",2026-02-11 00:00:00.000,5005103,LUCAS
248,"TKA0474   ",2024-01-15 00:00:00.000,4123709,KEVIN
249,"VQX3148   ",2023-11-25 00:00:00.000,1711902,STEPHANY
250,"JQU4088   ",2026-03-22 00:00:00.000,3534104,OTÁVIO
251,"ODZ1944   ",2023-10-29 00:00:00.000,4207304,EMANUELLA
252,"RZC2837   ",2024-10-27 00:00:00.000,4315552,JOÃO
253,"HQN1119   ",2025-12-18 00:00:00.000,5203962,NINA
254,"TMG7833   ",2025-07-02 00:00:00.000,1504604,MARIA
255,"SJH3413   ",2024-07-27 00:00:00.000,2926004,CECÍLIA
256,"SRQ6322   ",2025-09-26 00:00:00.000,4111100,ISABELLY
257,"AGQ7559   ",2024-08-28 00:00:00.000,4211108,JOÃO
258,"UKK2503   ",2026-03-30 00:00:00.000,3140605,JOÃO
259,"HPG9611   ",2025-10-13 00:00:00.000,3106804,BEATRIZ
260,"CWI6847   ",2025-10-31 00:00:00.000,4317251,JUAN
261,"EEG2441   ",2023-07-11 00:00:00.000,1700301,MELISSA
262,"KDJ3322   ",2025-08-03 00:00:00.000,3506805,SOPHIA
263,"YNN3168   ",2024-09-20 00:00:00.000,3534708,SABRINA
264,"LCZ2338   ",2024-09-11 00:00:00.000,2929057,CAIO
265,"LJB5463   ",2024-07-10 00:00:00.000,2918753,NATHAN
266,"GKE8844   ",2023-03-23 00:00:00.000,4313011,JOÃO
267,"EQF9236   ",2025-05-11 00:00:00.000,3162401,ALANA
268,"BIV3208   ",2023-12-07 00:00:00.000,2205557,MARCELA
269,"DUP3407   ",2025-07-25 00:00:00.000,3202603,BEATRIZ
270,"NQM9768   ",2025-04-20 00:00:00.000,2509008,LUANA
271,"ZOK8829   ",2026-03-16 00:00:00.000,3120409,LEVI
272,"UPB2269   ",2024-11-07 00:00:00.000,2108405,JULIA
273,"JOS5254   ",2026-02-04 00:00:00.000,2605707,KEVIN
274,"BSE0122   ",2025-10-13 00:00:00.000,3519501,ANA
275,"JJP2823   ",2024-12-13 00:00:00.000,3142304,BIANCA
276,"ZZF3313   ",2025-07-04 00:00:00.000,1300904,LAURA
277,"XGR8869   ",2025-09-02 00:00:00.000,2803203,LUIZ
278,"DCN5890   ",2026-11-02 00:00:00.000,2309706,YAGO
279,"ZLL7138   ",2026-03-19 00:00:00.000,2307205,DIEGO
280,"SMG1451   ",2026-04-29 00:00:00.000,5100201,BRENO
281,"YQF5540   ",2025-06-21 00:00:00.000,5103908,LAÍS
282,"KSJ8910   ",2025-08-20 00:00:00.000,2516102,HENRIQUE
283,"EYA1190   ",2026-12-06 00:00:00.000,2607208,RODRIGO
284,"CBY4848   ",2026-04-14 00:00:00.000,2922656,VITOR
285,"FJK1353   ",2023-10-08 00:00:00.000,2408003,ANA
286,"GND7849   ",2024-07-24 00:00:00.000,3129608,AUGUSTO
287,"CZZ0768   ",2024-10-06 00:00:00.000,1714302,BERNARDO
288,"CJM8458   ",2025-08-28 00:00:00.000,3528007,JOÃO
289,"AKU9631   ",2023-12-08 00:00:00.000,2303402,BÁRBARA
290,"CAL0520   ",2026-01-24 00:00:00.000,3150505,DIEGO
291,"LGW1761   ",2025-03-16 00:00:00.000,4119103,AMANDA
292,"SLA6635   ",2023-03-28 00:00:00.000,2409506,VITOR
293,"WCI2551   ",2024-02-27 00:00:00.000,4115358,LUIZ
294,"MAJ6509   ",2026-01-13 00:00:00.000,4307815,THEO
295,"RHN8575   ",2024-01-02 00:00:00.000,5004502,IGOR
296,"UAX6038   ",2025-12-06 00:00:00.000,3556107,MARIA
297,"BRN0889   ",2023-11-03 00:00:00.000,3109204,DAVI
298,"KXT8031   ",2023-06-04 00:00:00.000,2900801,JUAN
299,"HTP2687   ",2024-09-04 00:00:00.000,3104452,MURILO
300,"DAU3538   ",2024-02-13 00:00:00.000,3157658,LUIZ
301,"MXE5148   ",2026-02-07 00:00:00.000,2923506,ANA
302,"XFZ5900   ",2023-10-24 00:00:00.000,3513405,LUCAS
303,"ROH9259   ",2026-08-04 00:00:00.000,4126256,ESTHER
304,"BTG4343   ",2024-01-15 00:00:00.000,4204194,ELISA
305,"PRG0273   ",2026-01-30 00:00:00.000,2205581,SOPHIA
306,"XRT7411   ",2024-08-07 00:00:00.000,3125903,LUIZ
307,"ZAQ7471   ",2024-01-26 00:00:00.000,3518107,THIAGO
308,"ZEF3855   ",2023-03-25 00:00:00.000,3107406,ALICE
309,"MIY9082   ",2023-10-08 00:00:00.000,2929305,JOÃO
310,"ODN2221   ",2025-05-23 00:00:00.000,2200707,NICOLAS
311,"LHG2700   ",2024-08-25 00:00:00.000,5218391,JULIA
312,"PZA8456   ",2024-04-06 00:00:00.000,2509404,PEDRO
313,"AWG9965   ",2024-05-26 00:00:00.000,2908408,ANA
314,"VFB7283   ",2024-07-22 00:00:00.000,2906402,GUSTAVO
315,"QTM2100   ",2024-08-21 00:00:00.000,2922052,RYAN
316,"CUJ8674   ",2024-11-20 00:00:00.000,4115903,MARIA
317,"CPB3938   ",2024-06-24 00:00:00.000,4218202,JOÃO
318,"ILS7069   ",2024-10-27 00:00:00.000,3164308,SOPHIE
319,"GZD9251   ",2024-10-31 00:00:00.000,2211506,THOMAS
320,"FNT3944   ",2025-04-09 00:00:00.000,4113403,RYAN
321,"QWB0023   ",2025-07-29 00:00:00.000,3501400,JOÃO
322,"QQM9473   ",2023-05-08 00:00:00.000,3158805,ANA
323,"UZM5517   ",2026-02-16 00:00:00.000,4100400,SOFIA
324,"IBQ1866   ",2024-02-07 00:00:00.000,3154002,LUIZ
325,"MNI5405   ",2023-06-30 00:00:00.000,3114105,ANTÔNIO
326,"NWW2101   ",2023-09-21 00:00:00.000,3170305,CALEBE
327,"TQL1220   ",2024-02-03 00:00:00.000,3132800,BRYAN
328,"HWA9811   ",2025-04-05 00:00:00.000,4103206,DANIEL
329,"PNZ0646   ",2023-10-07 00:00:00.000,3515186,MARIA
330,"MQP7158   ",2023-08-14 00:00:00.000,4105904,LUCAS
331,"TJY9198   ",2025-10-11 00:00:00.000,3164803,LAVÍNIA
332,"ROM0519   ",2024-12-03 00:00:00.000,2907558,ARTHUR
333,"FNK5151   ",2023-11-20 00:00:00.000,2922706,MELISSA
334,"OKJ5658   ",2024-05-10 00:00:00.000,4215703,CAROLINE
335,"JCP6243   ",2025-07-15 00:00:00.000,3300100,CALEBE
336,"SKT8113   ",2025-07-22 00:00:00.000,4211702,LARA
337,"JEX1093   ",2024-05-25 00:00:00.000,3535705,DIOGO
338,"MRK0893   ",2024-07-24 00:00:00.000,1400704,EDUARDA
339,"JEP5654   ",2024-07-15 00:00:00.000,4120507,JOÃO
340,"SWR0661   ",2023-06-28 00:00:00.000,4314175,VICENTE
341,"GVU3943   ",2026-10-20 00:00:00.000,4214409,MATHEUS
342,"WXT8467   ",2024-07-02 00:00:00.000,2311603,VITOR
343,"OAH8073   ",2024-10-21 00:00:00.000,2401859,JOÃO
344,"DTE7481   ",2024-06-21 00:00:00.000,1504455,THOMAS
345,"TKA0699   ",2023-03-16 00:00:00.000,2706802,BENÍCIO
346,"UBK5824   ",2024-08-07 00:00:00.000,3155504,ANA
347,"GLF9251   ",2024-09-15 00:00:00.000,4301701,HELOÍSA
348,"JPL5108   ",2023-09-01 00:00:00.000,1304062,AMANDA
349,"FDH2182   ",2026-12-23 00:00:00.000,4306700,ALICE
350,"CLJ1110   ",2024-04-17 00:00:00.000,2310951,GABRIELLY
351,"XHG8339   ",2025-03-16 00:00:00.000,3143450,JÚLIA
352,"EAW4441   ",2023-03-20 00:00:00.000,2504900,NICOLAS
353,"FBW2734   ",2024-01-15 00:00:00.000,4216008,CAIO
354,"GPT9736   ",2024-09-27 00:00:00.000,3126208,JÚLIA
355,"KAD2686   ",2025-05-20 00:00:00.000,4120358,VALENTINA
356,"WWT1629   ",2026-05-16 00:00:00.000,1101005,GABRIELLY
357,"SJL9921   ",2024-02-13 00:00:00.000,3165537,MARINA
358,"FBW8791   ",2024-04-21 00:00:00.000,2304301,DAVI
359,"GIR7454   ",2023-06-14 00:00:00.000,1720853,ISABEL
360,"ZBC5375   ",2025-12-12 00:00:00.000,2509800,MURILO
361,"WLH3105   ",2024-12-08 00:00:00.000,2512705,LUNA
362,"HPZ2958   ",2023-07-23 00:00:00.000,2409902,PEDRO
363,"KNC4642   ",2026-11-27 00:00:00.000,2305209,LUCAS
364,"IZN0037   ",2026-10-29 00:00:00.000,2101509,CAIO
365,"UPL1971   ",2024-12-03 00:00:00.000,1705557,MARCELO
366,"HKL3041   ",2024-03-20 00:00:00.000,2924306,OTÁVIO
367,"DTZ3609   ",2023-12-17 00:00:00.000,5219753,YURI
368,"QPJ6968   ",2023-05-05 00:00:00.000,5107883,ANA
369,"WPV0501   ",2026-03-07 00:00:00.000,5218052,MARIA
370,"PVX2370   ",2026-10-24 00:00:00.000,2608057,NICOLAS
371,"KUI9093   ",2025-05-01 00:00:00.000,4204004,MARCELA
372,"JIP0733   ",2026-07-04 00:00:00.000,4213708,PIETRA
373,"UHO6291   ",2026-06-05 00:00:00.000,2515609,FELIPE
374,"IBJ7992   ",2023-09-03 00:00:00.000,4314407,LORENZO
375,"KOJ4244   ",2024-09-24 00:00:00.000,4301958,BIANCA
376,"TBB5582   ",2026-08-27 00:00:00.000,3200300,EMANUELLY
377,"URT0988   ",2024-12-30 00:00:00.000,2303659,VITOR
378,"PMH1027   ",2025-09-14 00:00:00.000,1300102,LETÍCIA
379,"PLF3898   ",2025-06-21 00:00:00.000,3123858,LEVI
380,"EEQ8520   ",2026-03-19 00:00:00.000,2916856,HELOÍSA
381,"DSR6689   ",2024-02-17 00:00:00.000,4106407,ISAAC
382,"KBQ6709   ",2024-06-04 00:00:00.000,2106359,LORENZO
383,"UFT6537   ",2023-07-14 00:00:00.000,2513109,DAVI
384,"YUR6173   ",2025-08-31 00:00:00.000,4200754,LUCCA
385,"LZV9434   ",2026-07-01 00:00:00.000,2801405,LUIZ
